iter	Passed	Remaining
0	71	7119
1	138	6773
2	209	6759
3	280	6721
4	348	6627
5	415	6510
6	489	6507
7	569	6548
8	658	6653
9	735	6617
10	808	6540
11	878	6445
12	948	6350
13	1021	6272
14	1093	6198
15	1168	6135
16	1236	6038
17	1305	5948
18	1373	5857
19	1445	5780
20	1515	5699
21	1592	5647
22	1666	5577
23	1744	5523
24	1830	5491
25	1902	5416
26	1984	5366
27	2054	5282
28	2126	5206
29	2197	5126
30	2267	5047
31	2335	4963
32	2403	4879
33	2473	4802
34	2545	4726
35	2618	4654
36	2698	4594
37	2773	4525
38	2856	4468
39	2949	4424
40	3017	4341
41	3088	4264
42	3157	4185
43	3232	4114
44	3304	4038
45	3371	3957
46	3442	3882
47	3521	3815
48	3593	3739
49	3686	3686
50	3764	3616
51	3842	3547
52	3918	3474
53	4002	3409
54	4078	3336
55	4147	3258
56	4217	3181
57	4292	3108
58	4360	3030
59	4433	2955
60	4508	2882
61	4590	2813
62	4671	2743
63	4756	2675
64	4834	2603
65	4911	2530
66	4990	2458
67	5060	2381
68	5135	2307
69	5206	2231
70	5273	2153
71	5341	2077
72	5412	2001
73	5491	1929
74	5567	1855
75	5657	1786
76	5746	1716
77	5816	1640
78	5889	1565
79	5966	1491
80	6038	1416
81	6109	1341
82	6183	1266
83	6250	1190
84	6323	1115
85	6392	1040
86	6469	966
87	6546	892
88	6641	820
89	6716	746
90	6786	671
91	6859	596
92	6931	521
93	6998	446
94	7067	371
95	7140	297
96	7213	223
97	7290	148
98	7368	74
99	7448	0
