id,user_name,department,ip_transform,device_num_transform,browser_version,browser,os_type,os_version,op_datetime,ip_type,http_status_code,op_city,log_system_transform,url,op_month
0,lifengying7211,rd,V1OBTNxYA,6NRAoXZogVDX,safari_13,safari,macos,macos_big_sur_11,2022-05-25 16:07:00,内网,200,杭州,nHrKgKdJ1Mzt,xxx.com/github,2022-05
1,tanliu3173,rd,pPgzIf3S4,TzmgdvYq3Kx0,edge_93,edge,win,win10,2022-06-23 14:48:39,内网,200,杭州,2umVQwhiiwNJ,xxx.com/mail,2022-06
2,ligang8428,rd,3FuJEoZPa,O0z4bdaN1tBX,ie_9,ie,win,win10,2022-06-17 17:22:54,内网,200,北京,nHrKgKdJ1Mzt,xxx.com/github,2022-06
3,taojing6871,rd,7TFdcL1RO,7YM3aaHmgUsf,edge_93,edge,win,win10,2022-05-27 10:13:52,内网,200,成都,sW0whYIx8LFM,work.xxx.com/task,2022-05
4,wanghongmei7436,rd,2KzUtXwqZ,XpMyOxNIKI6a,chrome_77,chrome,win,win10,2022-05-18 10:47:23,内网,200,成都,nHrKgKdJ1Mzt,xxx.com/github,2022-05
5,zhangbo2384,other,5BLwyu5pl,Y0ic4I4cr0UU,edge_93,edge,win,win10,2022-05-11 10:26:25,内网,200,深圳,fwM6KZKjrzjm,xxx.com/oa,2022-05
6,renming5624,sales,eVi1sdtR3,19sK60AbnGgR,chrome_90,chrome,win,win10,2022-06-21 10:06:02,内网,200,北京,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-06
7,yangyong8917,rd,FswFixXl4,wqHGEaIrW5Gm,chrome_90,chrome,win,win10,2022-05-26 18:50:14,内网,200,杭州,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
8,chengli6873,accounting,IAC5Twv19,lPFcCAdg9EgB,chrome_90,chrome,win,win7,2022-06-15 13:40:15,内网,200,深圳,sW0whYIx8LFM,work.xxx.com/task,2022-06
9,xielin3822,sales,rY7u3TkaY,X9RHOzThlnFS,edge_93,edge,win,win7,2022-06-17 10:39:22,内网,200,杭州,sW0whYIx8LFM,work.xxx.com/task,2022-06
10,guoyulan3428,accounting,224BNDuuA,7mYejnjm4EoU,edge_93,edge,win,win10,2022-05-16 11:43:57,内网,200,深圳,2UNHLdxlhIzv,xxx.com/accounting,2022-05
11,kangli4349,sales,sHx75qIn1,wG43OLpj9PUN,chrome_90,chrome,win,win10,2022-05-11 09:50:08,内网,200,成都,RwHe8Q1R7AlB,business.xxx.com/,2022-05
12,xujia4357,rd,B31AXAaTC,84XXhUeI2Eno,ie_11,ie,win,win10,2022-05-11 14:54:04,内网,200,成都,dwS3cdn15GK4,wpsdoc.xxx.com/kdocs,2022-05
