iter	Passed	Remaining
0	66	13262
1	130	12892
2	197	12941
3	264	12965
4	330	12888
5	395	12773
6	406	11196
7	473	11358
8	539	11446
9	605	11512
10	671	11535
11	740	11595
12	805	11584
13	871	11578
14	943	11632
15	1008	11600
16	1075	11575
17	1139	11521
18	1205	11486
19	1273	11463
20	1338	11410
21	1404	11365
22	1469	11309
23	1535	11262
24	1602	11219
25	1669	11173
26	1737	11131
27	1802	11072
28	1872	11040
29	1939	10990
30	2005	10932
31	2073	10884
32	2140	10833
33	2205	10768
34	2270	10704
35	2338	10653
36	2404	10591
37	2471	10536
38	2536	10471
39	2603	10412
40	2668	10347
41	2733	10284
42	2800	10226
43	2867	10165
44	2934	10107
45	3000	10045
46	3067	9986
47	3132	9920
48	3198	9856
49	3265	9796
50	3331	9733
51	3395	9664
52	3461	9601
53	3528	9539
54	3594	9475
55	3658	9408
56	3722	9340
57	3790	9280
58	3857	9217
59	3924	9156
60	3990	9092
61	4057	9031
62	4123	8966
63	4188	8900
64	4253	8833
65	4321	8774
66	4387	8709
67	4453	8645
68	4520	8581
69	4586	8517
70	4653	8454
71	4719	8391
72	4796	8344
73	4860	8276
74	4927	8212
75	4993	8146
76	5063	8088
77	5128	8021
78	5195	7957
79	5261	7892
80	5327	7826
81	5394	7762
82	5461	7698
83	5525	7630
84	5590	7563
85	5655	7497
86	5723	7433
87	5789	7367
88	5857	7304
89	5927	7244
90	5993	7179
91	6059	7113
92	6124	7046
93	6190	6980
94	6255	6914
95	6320	6847
96	6386	6781
97	6453	6717
98	6520	6651
99	6585	6585
100	6652	6520
101	6720	6456
102	6786	6390
103	6853	6326
104	6921	6262
105	6987	6196
106	7056	6133
107	7128	6072
108	7198	6009
109	7270	5948
110	7340	5885
111	7409	5822
112	7478	5758
113	7544	5691
114	7612	5626
115	7679	5561
116	7746	5495
117	7813	5429
118	7881	5364
119	7949	5299
120	8017	5234
121	8082	5167
122	8150	5102
123	8221	5038
124	8293	4976
125	8367	4914
126	8440	4851
127	8508	4785
128	8573	4718
129	8639	4651
130	8707	4586
131	8771	4518
132	8838	4452
133	8910	4388
134	8976	4321
135	9045	4256
136	9110	4189
137	9175	4122
138	9242	4056
139	9308	3989
140	9374	3922
141	9440	3855
142	9506	3789
143	9572	3722
144	9638	3655
145	9705	3589
146	9772	3523
147	9837	3456
148	9907	3391
149	9975	3325
150	10042	3258
151	10108	3192
152	10176	3126
153	10243	3059
154	10309	2992
155	10375	2926
156	10443	2860
157	10508	2793
158	10574	2726
159	10641	2660
160	10708	2594
161	10775	2527
162	10843	2461
163	10913	2395
164	10982	2329
165	11047	2262
166	11114	2196
167	11182	2129
168	11251	2063
169	11317	1997
170	11385	1930
171	11451	1864
172	11516	1797
173	11584	1731
174	11651	1664
175	11715	1597
176	11781	1530
177	11848	1464
178	11917	1398
179	11983	1331
180	12050	1264
181	12116	1198
182	12181	1131
183	12249	1065
184	12316	998
185	12382	932
186	12448	865
187	12515	798
188	12582	732
189	12648	665
190	12717	599
191	12784	532
192	12851	466
193	12920	399
194	12989	333
195	13054	266
196	13121	199
197	13188	133
198	13254	66
199	13319	0
